1	0	12	ferroportin-1	Gene	0.5028554201126099
1	43	55	ferroportin-1	Gene	0.5474140644073486
1	86	98	ferroportin-1	Gene	1.533485770225525
1	59	63	iron	Chemical	-4.490532875061035
1	151	155	iron	Chemical	-1.199873924255371
1	317	321	iron	Chemical	-0.9547120332717896
1	16	22	humans	species	-1.9090824127197266
1	79	85	humans	species	0.1404615193605423
2	11	26	transgenic mice	species	-2.102602243423462
2	57	72	transgenic mice	species	2.3216097354888916
2	105	120	transgenic mice	species	-0.8118342161178589
2	22	26	rats	species	-1.0181304216384888
2	69	73	rats	species	0.9194561243057251
2	118	122	rats	species	0.07007282227277756
3	41	47	kidney	NA	0.5119785666465759
3	116	122	kidney	NA	-1.436547875404358
3	168	174	kidney	NA	-0.954747200012207
3	35	40	mice	species	1.245017647743225
3	16	31	Gene expression	NA	-0.39517661929130554
3	75	90	Gene expression	NA	-0.6996880769729614
4	29	35	kidney	NA	0.17950288951396942
4	81	87	kidney	NA	0.23162925243377686
4	132	138	kidney	NA	0.436723530292511
4	39	43	mice	species	0.6490350961685181
4	0	15	Gene expression	NA	0.025047052651643753
5	88	113	subcellular fractionation	NA	-0.5367571711540222
5	118	124	nucleus	NA	-3.1898417472839355
6	79	93	fanconi anemia	Disease	-0.8904252052307129
6	0	6	fancd2	Gene	0.011265355162322521
6	39	45	fancd2	Gene	0.440163791179657
6	125	131	fancd2	Gene	2.4951212406158447
6	145	151	fancd2	Gene	0.8412977457046509
6	207	213	fancd2	Gene	1.1970845460891724
6	249	255	fancd2	Gene	0.18744483590126038
7	0	10	dna repair	NA	-0.8079651594161987
7	57	67	dna repair	NA	-0.2016436904668808
7	155	165	dna repair	NA	-1.6579543352127075
7	15	31	oxidative stress	Disease	-1.1207431554794312
7	81	97	oxidative stress	Disease	-1.1193572282791138
7	130	146	oxidative stress	Disease	-1.8853987455368042
8	20	30	dna repair	NA	-1.7958874702453613
8	94	104	dna repair	NA	-3.6091930866241455
8	293	303	dna repair	NA	-1.8296594619750977
8	109	118	oxidative stress	Disease	-3.838559150695801
8	332	341	oxidative stress	Disease	-4.0851545333862305
8	44	55	skin cancer	Disease	-1.172603964805603
8	147	163	uv-carcinoGenesis	Disease	-3.257514238357544
9	49	55	humans	species	0.7675722241401672
9	0	4	muty	Gene	0.024244006723165512
9	41	45	muty	Gene	0.7527053356170654
9	56	60	muty	Gene	0.06804163008928299
10	100	110	dna repair	NA	0.4331567585468292
10	0	5	neil1	Gene	0.27380967140197754
10	38	43	neil1	Gene	0.5156060457229614
10	85	90	neil1	Gene	1.1493197679519653
11	0	14	carcinoGenesis	Disease	-1.4120084047317505
11	57	71	carcinoGenesis	Disease	-1.5781934261322021
11	19	32	hairless mice	NA	0.22687333822250366
11	83	96	hairless mice	NA	0.9314942359924316
12	265	269	Gene regulation	NA	0.6249056458473206
12	84	90	signal transduction	NA	-2.0579683780670166
12	161	166	mice	species	1.0567867755889893
12	306	311	mice	species	1.8581315279006958
12	326	331	mice	species	1.1154495477676392
12	19	24	smad4	Gene	-0.06977333873510361
12	111	116	smad4	Gene	0.16716912388801575
12	144	149	smad4	Gene	1.7009373903274536
12	235	240	smad4	Gene	0.9596653580665588
13	8	12	angiogenic proteins	Gene	0.3598688840866089
13	70	74	angiogenic proteins	Gene	0.8978195190429688
13	144	148	angiogenic proteins	Gene	0.7436579465866089
13	114	125	homeostasis	NA	-1.8454710245132446
13	251	262	homeostasis	NA	-0.7258146405220032
13	127	130	growth and development	NA	-1.9168673753738403
13	250	253	growth and development	NA	-0.8069042563438416
13	8	12	tgfb	Gene	0.3598688840866089
13	69	73	tgfb	Gene	0.8379625678062439
13	142	146	tgfb	Gene	1.0140432119369507
13	32	36	skin	Disease	-0.8296267986297607
13	93	97	skin	Disease	-1.7818834781646729
14	28	32	tgfb	Gene	0.7645168900489807
14	70	74	tgfb	Gene	0.809191882610321
14	172	176	tgfb	Gene	0.4659251272678375
14	36	49	hnscc cancers	NA	0.6487505435943604
14	103	116	hnscc cancers	NA	2.5702922344207764
14	0	10	Gene expression regulation	NA	-1.3323769569396973
14	76	86	Gene expression regulation	NA	-1.6446107625961304
15	0	6	atpase	Gene	-0.13636420667171478
15	11	20	apoptosis	Disease	-2.1111345291137695
15	60	69	apoptosis	Disease	-1.7366212606430054
15	133	142	apoptosis	Disease	-1.159282922744751
16	0	12	aaa proteins	NA	-0.12915825843811035
16	20	32	aaa proteins	NA	-0.3913797438144684
16	58	64	lipids	NA	0.5020337104797363
16	68	71	dna	Chemical	-0.7738813757896423
17	4	12	antibody affinity	NA	0.0693218857049942
17	64	72	antibody affinity	NA	-0.4771242141723633
17	111	119	antibody affinity	NA	-2.0060791969299316
17	49	52	p53	Gene	2.042836904525757
18	40	50	cell cycle	NA	-1.1045191287994385
18	114	124	cell cycle	NA	-0.595160961151123
18	184	194	cell cycle	NA	-1.0749132633209229
18	59	69	carbohydrate metabolism	NA	-0.2919059097766876
18	202	212	carbohydrate metabolism	NA	-1.1422590017318726
18	132	137	yeasts	NA	0.07081998884677887
18	0	4	gis4	Gene	1.1199430227279663
18	19	23	gis4	Gene	0.6163475513458252
18	88	92	gis4	Gene	0.7634822726249695
18	311	315	gis4	Gene	0.07801715284585953
19	102	118	promoter regions	NA	-1.8158093690872192
19	27	31	gal1	Gene	1.0484198331832886
19	122	126	gal1	Gene	-0.05245986953377724
19	36	40	suc1	Gene	0.7088959813117981
19	131	135	suc1	Gene	0.10072534531354904
20	26	35	ubiquitin	Gene	0.7240350246429443
20	144	153	ubiquitin	Gene	2.0635287761688232
20	180	189	ubiquitin	Gene	0.28289416432380676
20	101	109	protein modification	NA	-0.20522066950798035
20	173	181	protein modification	NA	-2.7200982570648193
20	212	220	protein modification	NA	-0.6853981018066406
21	35	45	dna damage	Disease	-1.9858773946762085
21	109	119	dna damage	Disease	-1.5847617387771606
21	120	130	dna damage	Disease	0.2122417837381363
21	231	241	dna damage	Disease	-1.3413158655166626
21	67	77	cell cycle	NA	-4.065968990325928
21	141	151	cell cycle	NA	-2.6837666034698486
21	88	97	apoptosis	Disease	-3.4063198566436768
21	162	171	apoptosis	Disease	-2.90523624420166
21	8	11	p63	Gene	0.8698557615280151
