1	0	12	ferroportin-1	Gene	-0.5687018036842346
1	43	55	ferroportin-1	Gene	1.860152244567871
1	86	98	ferroportin-1	Gene	0.6901707649230957
6	79	93	fanconi anemia	Disease	0.3233858048915863
6	0	6	fancd2	Gene	-0.6548547148704529
6	39	45	fancd2	Gene	0.6234821081161499
6	125	131	fancd2	Gene	-2.1975934505462646
6	145	151	fancd2	Gene	-1.3549565076828003
6	207	213	fancd2	Gene	-2.5213818550109863
6	249	255	fancd2	Gene	-1.5421613454818726
8	44	55	skin cancer	Disease	0.2708064019680023
8	44	55	skin cancer	Disease	0.2708064019680023
8	147	163	uv-carcinoGenesis	Disease	-1.2202666997909546
10	0	5	neil1	Gene	-2.725247859954834
10	38	43	neil1	Gene	0.12905699014663696
10	85	90	neil1	Gene	-1.584909200668335
11	0	14	carcinoGenesis	Disease	-3.1068739891052246
11	57	71	carcinoGenesis	Disease	-1.8511714935302734
12	19	24	smad4	Gene	-1.0014749765396118
12	111	116	smad4	Gene	-1.9597159624099731
12	144	149	smad4	Gene	-2.9791948795318604
12	235	240	smad4	Gene	-1.8913640975952148
14	36	49	hnscc cancers	NA	-0.6617385149002075
14	103	116	hnscc cancers	NA	-1.9412598609924316
17	49	52	p53	Gene	-0.2899046242237091
21	8	11	p63	Gene	0.369568794965744
21	49	52	p63	Gene	-0.003612964414060116
21	172	175	p63	Gene	-0.3019283711910248
21	16	19	p73	Gene	0.33925876021385193
21	57	60	p73	Gene	0.024794913828372955
21	180	183	p73	Gene	1.1156320571899414
22	21	24	p53	Gene	0.22415314614772797
22	111	114	p53	Gene	1.2535028457641602
22	290	293	p53	Gene	-0.7665352821350098
24	6	19	peptidoglycan recognition protein	NA	-3.223625898361206
24	83	96	peptidoglycan recognition protein	NA	-1.700982689857483
25	9	20	scleroderma	Disease	-0.7642850875854492
25	9	20	scleroderma	Disease	-0.7642850875854492
25	116	127	scleroderma	Disease	-2.1826369762420654
25	116	127	scleroderma	Disease	-2.1826369762420654
25	184	195	scleroderma	Disease	-3.2484850883483887
25	184	195	scleroderma	Disease	-3.2484850883483887
31	0	3	tor	Gene	0.5421556234359741
31	101	104	tor	Gene	-0.21460722386837006
31	115	118	tor	Gene	-0.7100635766983032
31	17	34	neurofibromatosis	Disease	-0.08617126941680908
31	17	34	neurofibromatosis	Disease	-0.08617126941680908
31	17	34	neurofibromatosis	Disease	-0.08617126941680908
31	17	34	neurofibromatosis	Disease	-0.08617126941680908
31	79	96	neurofibromatosis	Disease	-1.597014307975769
31	79	96	neurofibromatosis	Disease	-1.597014307975769
31	79	96	neurofibromatosis	Disease	-1.597014307975769
31	79	96	neurofibromatosis	Disease	-1.597014307975769
33	24	38	histoplasmosis	Disease	-3.3322513103485107
33	24	38	histoplasmosis	Disease	-3.3322513103485107
33	24	38	histoplasmosis	Disease	-3.3322513103485107
36	0	5	rab3a	Gene	0.204478457570076
36	32	37	rab3a	Gene	-0.2594468891620636
37	0	3	pam	Disease	-2.0469589233398438
37	60	63	pam	Disease	-2.8622429370880127
37	85	88	pam	Disease	-1.0025219917297363
38	17	23	stroke	Disease	1.872658610343933
38	17	23	stroke	Disease	1.872658610343933
38	17	23	stroke	Disease	1.872658610343933
38	103	109	stroke	Disease	0.8273386359214783
38	103	109	stroke	Disease	0.8273386359214783
38	103	109	stroke	Disease	0.8273386359214783
38	251	257	stroke	Disease	-0.11646993458271027
38	251	257	stroke	Disease	-0.11646993458271027
38	251	257	stroke	Disease	-0.11646993458271027
39	0	12	hypertension	Disease	-0.1878817230463028
39	85	97	hypertension	Disease	0.029290512204170227
41	17	54	cftr	Gene	0.32049041986465454
41	129	166	cftr	Gene	0.10826320946216583
44	25	52	ngf	NA	-0.9219067692756653
44	79	106	ngf	NA	-0.6969857215881348
44	183	210	ngf	NA	-0.24897895753383636
46	0	4	rsk2	Gene	0.21835657954216003
46	40	44	rsk2	Gene	0.15777844190597534
47	11	15	bcl-2	Gene	0.45670264959335327
47	67	71	bcl-2	Gene	-0.0202907994389534
